datetime,CDD,CWD,Prcp1,SDII,,,year,month
1961-01-31,14.0,3.0,29.03225806451613,5.691111111111112,1961,Jan,1961,Jan
1961-02-28,12.0,3.0,28.57142857142857,9.895,1961,Feb,1961,Feb
1961-03-31,16.0,3.0,25.806451612903224,11.868749999999999,1961,Mar,1961,Mar
1961-04-30,4.0,3.0,50.0,6.683333333333333,1961,Apr,1961,Apr
1961-05-31,5.0,3.0,41.935483870967744,5.13,1961,May,1961,May
1961-06-30,5.0,2.0,31.03448275862069,9.553333333333335,1961,Jun,1961,Jun
1961-07-31,5.0,4.0,45.16129032258064,5.929285714285714,1961,Jul,1961,Jul
1961-08-31,5.0,3.0,32.25806451612903,14.508,1961,Aug,1961,Aug
1961-09-30,13.0,2.0,13.333333333333334,5.6525,1961,Sep,1961,Sep
1961-10-31,10.0,4.0,35.483870967741936,6.278181818181818,1961,Oct,1961,Oct
1961-11-30,4.0,4.0,46.666666666666664,5.843571428571428,1961,Nov,1961,Nov
1961-12-31,5.0,5.0,45.16129032258064,7.170714285714285,1961,Dec,1961,Dec
1962-01-31,4.0,4.0,41.935483870967744,9.773846153846154,1962,Jan,1962,Jan
1962-02-28,9.0,3.0,42.857142857142854,9.536666666666667,1962,Feb,1962,Feb
1962-03-31,15.0,3.0,25.806451612903224,5.14625,1962,Mar,1962,Mar
1962-04-30,6.0,5.0,50.0,9.292,1962,Apr,1962,Apr
1962-05-31,7.0,3.0,29.03225806451613,4.688888888888889,1962,May,1962,May
1962-06-30,9.0,2.0,23.333333333333332,11.732857142857142,1962,Jun,1962,Jun
1962-07-31,8.0,3.0,38.70967741935484,11.207500000000001,1962,Jul,1962,Jul
1962-08-31,6.0,2.0,29.03225806451613,6.9433333333333325,1962,Aug,1962,Aug
1962-09-30,7.0,3.0,36.666666666666664,6.684545454545454,1962,Sep,1962,Sep
1962-10-31,4.0,5.0,54.83870967741935,7.714117647058824,1962,Oct,1962,Oct
1962-11-30,9.0,2.0,20.0,7.585,1962,Nov,1962,Nov
1962-12-31,4.0,4.0,48.38709677419355,6.654,1962,Dec,1962,Dec
1963-01-31,6.0,2.0,35.483870967741936,5.636363636363636,1963,Jan,1963,Jan
1963-02-28,5.0,4.0,42.857142857142854,8.480833333333335,1963,Feb,1963,Feb
1963-03-31,5.0,3.0,29.03225806451613,10.045555555555556,1963,Mar,1963,Mar
1963-04-30,7.0,4.0,36.666666666666664,8.297272727272729,1963,Apr,1963,Apr
1963-05-31,8.0,2.0,29.03225806451613,11.024444444444445,1963,May,1963,May
1963-06-30,6.0,4.0,33.33333333333333,9.661,1963,Jun,1963,Jun
1963-07-31,10.0,1.0,19.35483870967742,10.928333333333333,1963,Jul,1963,Jul
1963-08-31,4.0,4.0,58.06451612903226,8.832777777777777,1963,Aug,1963,Aug
1963-09-30,22.0,1.0,10.344827586206897,16.683333333333334,1963,Sep,1963,Sep
1963-10-31,20.0,1.0,9.67741935483871,5.069999999999999,1963,Oct,1963,Oct
1963-11-30,5.0,6.0,50.0,10.412666666666667,1963,Nov,1963,Nov
1963-12-31,9.0,3.0,32.25806451612903,5.371,1963,Dec,1963,Dec
