latitude,longitude,t2m
90.0,0.0,271.9371
90.0,1.25,271.9371
90.0,2.5,271.9371
90.0,3.75,271.9371
90.0,5.0,271.9371
90.0,6.25,271.9371
90.0,7.5,271.9371
90.0,8.75,271.9371
90.0,10.0,271.9371
90.0,11.25,271.9371
90.0,12.5,271.9371
90.0,13.75,271.9371
90.0,15.0,271.9371
90.0,16.25,271.9371
90.0,17.5,271.9371
90.0,18.75,271.9371
90.0,20.0,271.9371
90.0,21.25,271.9371
90.0,22.5,271.9371
90.0,23.75,271.9371
90.0,25.0,271.9371
90.0,26.25,271.9371
90.0,27.5,271.9371
90.0,28.75,271.9371
90.0,30.0,271.9371
90.0,31.25,271.9371
90.0,32.5,271.9371
90.0,33.75,271.9371
90.0,35.0,271.9371
90.0,36.25,271.9371
90.0,37.5,271.9371
90.0,38.75,271.9371
90.0,40.0,271.9371
90.0,41.25,271.9371
90.0,42.5,271.9371
90.0,43.75,271.9371
90.0,45.0,271.9371
90.0,46.25,271.9371
90.0,47.5,271.9371
90.0,48.75,271.9371
90.0,50.0,271.9371
90.0,51.25,271.9371
90.0,52.5,271.9371
90.0,53.75,271.9371
90.0,55.0,271.9371
90.0,56.25,271.9371
90.0,57.5,271.9371
90.0,58.75,271.9371
90.0,60.0,271.9371
90.0,61.25,271.9371
90.0,62.5,271.9371
90.0,63.75,271.9371
90.0,65.0,271.9371
90.0,66.25,271.9371
90.0,67.5,271.9371
90.0,68.75,271.9371
90.0,70.0,271.9371
90.0,71.25,271.9371
90.0,72.5,271.9371
90.0,73.75,271.9371
90.0,75.0,271.9371
90.0,76.25,271.9371
90.0,77.5,271.9371
90.0,78.75,271.9371
90.0,80.0,271.9371
90.0,81.25,271.9371
90.0,82.5,271.9371
90.0,83.75,271.9371
90.0,85.0,271.9371
90.0,86.25,271.9371
90.0,87.5,271.9371
90.0,88.75,271.9371
90.0,90.0,271.9371
90.0,91.25,271.9371
90.0,92.5,271.9371
90.0,93.75,271.9371
90.0,95.0,271.9371
90.0,96.25,271.9371
90.0,97.5,271.9371
90.0,98.75,271.9371
90.0,100.0,271.9371
90.0,101.25,271.9371
90.0,102.5,271.9371
90.0,103.75,271.9371
90.0,105.0,271.9371
90.0,106.25,271.9371
90.0,107.5,271.9371
90.0,108.75,271.9371
90.0,110.0,271.9371
90.0,111.25,271.9371
90.0,112.5,271.9371
90.0,113.75,271.9371
90.0,115.0,271.9371
90.0,116.25,271.9371
90.0,117.5,271.9371
90.0,118.75,271.9371
90.0,120.0,271.9371
90.0,121.25,271.9371
90.0,122.5,271.9371
90.0,123.75,271.9371
90.0,125.0,271.9371
90.0,126.25,271.9371
90.0,127.5,271.9371
90.0,128.75,271.9371
90.0,130.0,271.9371
90.0,131.25,271.9371
90.0,132.5,271.9371
90.0,133.75,271.9371
90.0,135.0,271.9371
90.0,136.25,271.9371
90.0,137.5,271.9371
90.0,138.75,271.9371
90.0,140.0,271.9371
90.0,141.25,271.9371
90.0,142.5,271.9371
90.0,143.75,271.9371
90.0,145.0,271.9371
90.0,146.25,271.9371
90.0,147.5,271.9371
90.0,148.75,271.9371
90.0,150.0,271.9371
90.0,151.25,271.9371
90.0,152.5,271.9371
90.0,153.75,271.9371
90.0,155.0,271.9371
90.0,156.25,271.9371
90.0,157.5,271.9371
90.0,158.75,271.9371
90.0,160.0,271.9371
90.0,161.25,271.9371
90.0,162.5,271.9371
90.0,163.75,271.9371
90.0,165.0,271.9371
90.0,166.25,271.9371
90.0,167.5,271.9371
90.0,168.75,271.9371
90.0,170.0,271.9371
90.0,171.25,271.9371
90.0,172.5,271.9371
90.0,173.75,271.9371
90.0,175.0,271.9371
90.0,176.25,271.9371
90.0,177.5,271.9371
90.0,178.75,271.9371
90.0,180.0,271.9371
90.0,181.25,271.9371
90.0,182.5,271.9371
90.0,183.75,271.9371
90.0,185.0,271.9371
90.0,186.25,271.9371
90.0,187.5,271.9371
90.0,188.75,271.9371
90.0,190.0,271.9371
90.0,191.25,271.9371
90.0,192.5,271.9371
90.0,193.75,271.9371
90.0,195.0,271.9371
90.0,196.25,271.9371
90.0,197.5,271.9371
90.0,198.75,271.9371
90.0,200.0,271.9371
90.0,201.25,271.9371
90.0,202.5,271.9371
90.0,203.75,271.9371
90.0,205.0,271.9371
90.0,206.25,271.9371
90.0,207.5,271.9371
90.0,208.75,271.9371
90.0,210.0,271.9371
90.0,211.25,271.9371
90.0,212.5,271.9371
90.0,213.75,271.9371
90.0,215.0,271.9371
90.0,216.25,271.9371
90.0,217.5,271.9371
90.0,218.75,271.9371
90.0,220.0,271.9371
90.0,221.25,271.9371
90.0,222.5,271.9371
90.0,223.75,271.9371
90.0,225.0,271.9371
90.0,226.25,271.9371
90.0,227.5,271.9371
90.0,228.75,271.9371
90.0,230.0,271.9371
90.0,231.25,271.9371
90.0,232.5,271.9371
90.0,233.75,271.9371
90.0,235.0,271.9371
90.0,236.25,271.9371
90.0,237.5,271.9371
90.0,238.75,271.9371
90.0,240.0,271.9371
90.0,241.25,271.9371
90.0,242.5,271.9371
90.0,243.75,271.9371
90.0,245.0,271.9371
90.0,246.25,271.9371
90.0,247.5,271.9371
90.0,248.75,271.9371
90.0,250.0,271.9371
90.0,251.25,271.9371
90.0,252.5,271.9371
90.0,253.75,271.9371
90.0,255.0,271.9371
90.0,256.25,271.9371
90.0,257.5,271.9371
90.0,258.75,271.9371
90.0,260.0,271.9371
90.0,261.25,271.9371
90.0,262.5,271.9371
90.0,263.75,271.9371
90.0,265.0,271.9371
90.0,266.25,271.9371
90.0,267.5,271.9371
90.0,268.75,271.9371
90.0,270.0,271.9371
90.0,271.25,271.9371
90.0,272.5,271.9371
90.0,273.75,271.9371
90.0,275.0,271.9371
90.0,276.25,271.9371
90.0,277.5,271.9371
90.0,278.75,271.9371
90.0,280.0,271.9371
90.0,281.25,271.9371
90.0,282.5,271.9371
90.0,283.75,271.9371
90.0,285.0,271.9371
90.0,286.25,271.9371
90.0,287.5,271.9371
90.0,288.75,271.9371
90.0,290.0,271.9371
90.0,291.25,271.9371
90.0,292.5,271.9371
90.0,293.75,271.9371
90.0,295.0,271.9371
90.0,296.25,271.9371
90.0,297.5,271.9371
90.0,298.75,271.9371
90.0,300.0,271.9371
90.0,301.25,271.9371
90.0,302.5,271.9371
90.0,303.75,271.9371
90.0,305.0,271.9371
90.0,306.25,271.9371
90.0,307.5,271.9371
90.0,308.75,271.9371
90.0,310.0,271.9371
90.0,311.25,271.9371
90.0,312.5,271.9371
90.0,313.75,271.9371
90.0,315.0,271.9371
90.0,316.25,271.9371
90.0,317.5,271.9371
90.0,318.75,271.9371
90.0,320.0,271.9371
90.0,321.25,271.9371
90.0,322.5,271.9371
90.0,323.75,271.9371
90.0,325.0,271.9371
90.0,326.25,271.9371
90.0,327.5,271.9371
90.0,328.75,271.9371
90.0,330.0,271.9371
90.0,331.25,271.9371
90.0,332.5,271.9371
90.0,333.75,271.9371
90.0,335.0,271.9371
90.0,336.25,271.9371
90.0,337.5,271.9371
90.0,338.75,271.9371
90.0,340.0,271.9371
90.0,341.25,271.9371
90.0,342.5,271.9371
90.0,343.75,271.9371
90.0,345.0,271.9371
90.0,346.25,271.9371
90.0,347.5,271.9371
90.0,348.75,271.9371
90.0,350.0,271.9371
90.0,351.25,271.9371
90.0,352.5,271.9371
90.0,353.75,271.9371
90.0,355.0,271.9371
90.0,356.25,271.9371
90.0,357.5,271.9371
90.0,358.75,271.9371
