latitude,t2m
90.0,271.93707
88.75,271.9135
87.5,271.85315
86.25,271.80637
85.0,271.82333
83.75,271.91394
82.5,271.7434
81.25,271.4101
80.0,271.36716
78.75,271.39374
77.5,271.60437
76.25,272.2701
75.0,272.95163
73.75,273.88007
72.5,275.21225
71.25,276.34897
70.0,277.58884
68.75,279.43692
67.5,280.68732
66.25,281.51642
65.0,282.23602
63.75,282.83694
62.5,283.1886
61.25,283.36136
60.0,283.93326
58.75,284.21762
57.5,284.4329
56.25,284.8201
55.0,285.35876
53.75,285.96518
52.5,286.5039
51.25,286.97858
50.0,287.4884
48.75,288.15024
47.5,288.96872
46.25,289.89993
45.0,290.82907
43.75,291.39044
42.5,291.9271
41.25,292.96066
40.0,293.90256
38.75,294.10736
37.5,294.42987
36.25,294.45276
35.0,294.755
33.75,295.53586
32.5,296.42575
31.25,297.08798
30.0,297.5851
28.75,298.1321
27.5,298.89908
26.25,299.25604
25.0,299.13995
23.75,299.25598
22.5,299.47076
21.25,299.64343
20.0,299.66153
18.75,299.70557
17.5,299.71603
16.25,299.66055
15.0,299.43954
13.75,299.36124
12.5,299.2609
11.25,298.96152
10.0,298.64285
8.75,298.43793
7.5,298.3315
6.25,298.31668
5.0,298.376
3.75,298.3702
2.5,298.26456
1.25,298.02832
0.0,297.8337
-1.25,297.81107
-2.5,297.87207
-3.75,297.88275
-5.0,297.9093
-6.25,297.79495
-7.5,297.65103
-8.75,297.4036
-10.0,297.09332
-11.25,296.76297
-12.5,296.37036
-13.75,295.865
-15.0,295.39233
-16.25,295.0609
-17.5,294.51385
-18.75,293.97818
-20.0,293.43417
-21.25,292.83167
-22.5,292.20898
-23.75,291.62738
-25.0,291.0213
-26.25,290.37354
-27.5,289.8373
-28.75,289.28687
-30.0,288.69727
-31.25,288.12393
-32.5,287.6414
-33.75,287.16168
-35.0,286.71725
-36.25,286.04572
-37.5,285.37158
-38.75,284.71646
-40.0,283.93533
-41.25,282.9755
-42.5,282.02393
-43.75,281.12872
-45.0,280.21426
-46.25,279.38876
-47.5,278.53256
-48.75,277.70276
-50.0,276.93484
-51.25,276.1713
-52.5,275.4196
-53.75,274.67722
-55.0,273.8588
-56.25,272.82083
-57.5,271.45477
-58.75,269.79712
-60.0,267.84317
-61.25,265.65353
-62.5,263.29224
-63.75,260.714
-65.0,257.894
-66.25,255.25513
-67.5,252.24754
-68.75,249.0188
-70.0,245.67456
-71.25,242.63335
-72.5,239.28275
-73.75,236.25284
-75.0,233.40553
-76.25,230.89256
-77.5,228.47505
-78.75,226.03586
-80.0,224.90753
-81.25,224.79378
-82.5,224.51038
-83.75,224.36765
-85.0,223.11833
-86.25,219.71614
-87.5,216.63617
-88.75,213.4533
-90.0,212.4209
